City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,opuwo,-18.0607,13.84,72.81,33,50,12.71,NA,1731267647
231,kayyerkan,69.3786,87.7439,-7.64,92,80,4.5,RU,1731267648
232,karratha,-20.7377,116.8463,78.98,45,39,10.96,AU,1731267649
233,kamaishi,39.2667,141.8833,53.69,74,98,4.83,JP,1731267650
234,magdagachi,53.45,125.8,5.76,88,17,4.56,RU,1731267651
235,nanao,37.05,136.9667,57.27,74,100,1.54,JP,1731267652
236,forest city,28.6668,-81.4433,86.2,72,65,3.0,US,1731267653
237,zhumysker,49.3333,49.4,34.99,86,6,7.02,KZ,1731267654
238,fada,7.25,4.0667,79.47,69,20,2.3,NG,1731267655
239,hovd,48.0056,91.6419,25.61,42,57,7.99,MN,1731267656
240,puerto baquerizo moreno,-0.9,-89.6,77.99,61,20,11.5,EC,1731267610
241,merizo village,13.2658,144.6691,80.38,91,99,17.36,GU,1731267658
242,nuevo arraijan,8.9167,-79.7167,84.15,74,40,14.97,PA,1731267659
243,el fasher,13.6279,25.3494,80.29,19,100,13.22,SD,1731267660
244,coquimbo,-29.9533,-71.3436,65.93,67,0,12.66,CL,1731267661
245,dombarovskiy,50.7587,59.5386,32.22,94,98,17.45,RU,1731267662
246,fairfax,38.8501,-77.3497,61.09,45,75,11.5,US,1731267663
247,mangrol,21.1167,70.1167,80.22,61,0,8.48,IN,1731267664
248,salekhard,66.53,66.6019,0.64,87,19,8.68,RU,1731267665
249,bumba,2.1833,22.4667,70.0,93,98,1.66,CD,1731267666
250,bamyan,34.75,67.25,35.87,58,13,5.35,AF,1731267667
251,acapulco de juarez,16.8634,-99.8901,85.82,74,75,8.05,MX,1731267582
252,stephenville,32.2207,-98.2023,78.93,36,0,5.01,US,1731267669
253,kendari,-3.945,122.4989,75.38,95,42,1.03,ID,1731267670
254,aripuana,-9.1667,-60.6333,84.6,64,100,3.87,BR,1731267671
255,ta`u,-14.2336,-169.5144,80.94,82,99,17.83,AS,1731267672
256,balykshi,47.0667,51.8667,39.2,93,75,6.71,KZ,1731267673
257,chonchi,-42.6128,-73.8092,54.12,82,28,9.46,CL,1731267675
258,kirakira,-10.4544,161.9205,80.26,84,100,7.14,SB,1731267676
259,ouesso,1.6136,16.0517,70.09,90,74,1.92,CG,1731267677
260,salida,37.7058,-121.0849,67.08,37,10,1.95,US,1731267678
261,villa gesell,-37.2639,-56.973,65.93,82,100,16.02,AR,1731267679
262,yarmouth,41.7057,-70.2286,57.0,57,0,18.41,US,1731267622
263,selfoss,63.9331,-20.9971,43.05,75,100,24.16,IS,1731267681
264,birao,10.2849,22.7882,79.27,27,100,5.5,CF,1731267682
265,xapuri,-10.6517,-68.5044,91.44,44,100,1.01,BR,1731267683
266,tazovsky,67.4667,78.7,12.78,92,100,17.05,RU,1731267538
267,yuzhno-kurilsk,44.0306,145.8556,50.43,81,100,16.06,RU,1731267685
268,pyhajarvi,67.0701,27.2176,25.11,98,28,2.84,FI,1731267687
269,porto novo,6.4965,2.6036,82.22,80,64,5.82,BJ,1731267688
270,kristiansund,63.1115,7.732,43.12,87,0,6.91,NO,1731267689
271,mantua,45.1667,10.7833,47.01,93,0,2.26,IT,1731267690
272,kununurra,-15.7667,128.7333,82.38,83,97,0.0,AU,1731267691
273,katabu,-4.9333,122.5167,75.24,95,22,3.13,ID,1731267692
274,kodiak,57.79,-152.4072,38.71,87,100,19.57,US,1731267693
275,usogorsk,63.4106,48.6872,23.79,93,64,2.42,RU,1731267694
276,alofi,-19.0595,-169.9187,76.89,78,75,14.97,NU,1731267695
277,kerema,-7.9631,145.7785,76.71,92,94,4.61,PG,1731267696
278,kapuskasing,49.4169,-82.4331,44.69,81,100,6.91,CA,1731267697
279,mananara,-16.1667,49.7667,76.28,93,64,1.95,MG,1731267698
280,shimoda,34.6667,138.95,63.07,94,100,11.56,JP,1731267699
281,chabahar,25.2919,60.643,81.07,67,0,7.92,IR,1731267700
282,tanout,14.9709,8.8879,73.92,20,3,10.0,NE,1731267701
283,st. john's,47.5649,-52.7093,37.98,58,20,31.07,CA,1731267702
284,dompu,-8.5356,118.4622,75.85,95,9,1.23,ID,1731267703
285,alice springs,-23.7,133.8833,65.75,88,100,8.05,AU,1731267704
286,quellon,-43.1167,-73.6167,51.04,67,22,12.82,CL,1731267705
287,timimoun,29.2639,0.231,74.59,31,3,14.38,DZ,1731267706
288,zhigalovo,54.8097,105.1578,16.23,84,17,2.57,RU,1731267707
289,puerto armuelles,8.2833,-82.8667,75.09,92,100,4.0,PA,1731267709
290,binzhou,37.3667,118.0167,57.61,80,100,3.29,CN,1731267710
291,inhambane,-23.865,35.3833,76.3,84,99,12.82,MZ,1731267711
292,lompoc,34.6391,-120.4579,73.13,50,0,6.91,US,1731267712
293,itoman,26.1247,127.6694,76.08,89,83,7.2,JP,1731267713
294,el calafate,-50.3408,-72.2768,51.75,54,57,13.44,AR,1731267667
295,champerico,14.3,-91.9167,83.32,72,2,5.97,GT,1731267715
296,lermontov,44.1067,42.9733,35.02,100,100,4.47,RU,1731267716
297,midelt,32.6852,-4.7451,58.15,50,58,5.28,MA,1731267696
298,dwarka,22.2394,68.9678,81.36,68,0,13.71,IN,1731267718
299,pimentel,-6.8367,-79.9342,73.69,60,75,10.36,PE,1731267719
